Time (s),X (km),Y (km),Z (km),Vx (km/s),Vy (km/s),Vz (km/s),Event
1256.70620536059,1817.15679247755,-2907.63264730874,5529.16850247257,1.94948827341779,-6.39438393527727,-4.14195488330456,general_trajectory
1257.70620536059,1819.10526091407,-2914.02597601912,5525.02237380374,1.9474480130194,-6.39227212574602,-4.1503021375486,general_trajectory
1258.70620536058,1821.05168733044,-2920.41718884074,5520.86789883297,1.94540423321659,-6.39015215782219,-4.15864748536549,general_trajectory
1259.70620536058,1822.99606820758,-2926.80627761542,5516.70507947208,1.94335693468282,-6.38802403194985,-4.16699091599909,general_trajectory
1260.70620536058,1824.93840002711,-2933.19323418544,5512.53391764364,1.94130611810025,-6.38588774859712,-4.17533241868429,general_trajectory
1261.70620536058,1826.87867927132,-2939.57805039358,5508.35441528098,1.93925178415977,-6.38374330825628,-4.18367198264708,general_trajectory
1262.70620536058,1828.81690242321,-2945.96071808311,5504.1665743282,1.93719393356095,-6.38159071144384,-4.19200959710462,general_trajectory
1263.70620536057,1830.75306596645,-2952.3412290978,5499.97039674021,1.93513256701215,-6.37942995870064,-4.20034525126528,general_trajectory
1264.70620536057,1832.68716638548,-2958.71957528202,5495.76588448272,1.93306768523043,-6.37726105059188,-4.20867893432883,general_trajectory
1265.70620536057,1834.6192001654,-2965.0957484807,5491.55303953221,1.93099928894164,-6.37508398770727,-4.2170106354864,general_trajectory
1266.70620536057,1836.54916379209,-2971.46974053936,5487.33186387601,1.9289273788804,-6.37289877066104,-4.22534034392065,general_trajectory
1267.70620536056,1838.47705375215,-2977.84154330415,5483.10235951224,1.92685195579012,-6.37070540009206,-4.2336680488058,general_trajectory
1268.70620536056,1840.40286653291,-2984.21114862189,5478.86452844988,1.92477302042301,-6.36850387666393,-4.24199373930776,general_trajectory
1269.70620536056,1842.32659862248,-2990.57854834006,5474.61837270872,1.92269057354009,-6.366294201065,-4.25031740458416,general_trajectory
1270.70620536056,1844.24824650973,-2996.94373430684,5470.36389431942,1.92060461591121,-6.36407637400852,-4.25863903378448,general_trajectory
1271.70620536056,1846.1678066843,-3003.30669837114,5466.10109532348,1.91851514831506,-6.36185039623268,-4.26695861605009,general_trajectory
1272.70620536055,1848.08527563662,-3009.66743238263,5461.82997777327,1.91642217153918,-6.35961626850068,-4.2752761405144,general_trajectory
1273.70620536055,1850.00064985791,-3016.02592819172,5457.55054373203,1.91432568637997,-6.35737399160084,-4.28359159630288,general_trajectory
1274.70620536055,1851.91392584018,-3022.38217764968,5453.26279527387,1.91222569364271,-6.35512356634665,-4.29190497253318,general_trajectory
1275.70620536055,1853.82510007627,-3028.73617260855,5448.9667344838,1.91012219414157,-6.35286499357687,-4.30021625831521,general_trajectory
1276.70620536054,1855.73416905981,-3035.08790492126,5444.6623634577,1.90801518869959,-6.35059827415558,-4.30852544275125,general_trajectory
1277.70620536054,1857.64112928529,-3041.43736644158,5440.34968430239,1.90590467814876,-6.34832340897231,-4.31683251493597,general_trajectory
1278.70620536054,1859.54597724801,-3047.78454902422,5436.02869913557,1.90379066332997,-6.34604039894206,-4.3251374639566,general_trajectory
1279.70620536054,1861.44870944413,-3054.1294445248,5431.69941008586,1.90167314509305,-6.34374924500539,-4.33344027889297,general_trajectory
1280.70620536054,1863.34932237067,-3060.47204479989,5427.36181929281,1.89955212429675,-6.34144994812854,-4.34174094881762,general_trajectory
1281.70620536053,1865.24781252549,-3066.81234170704,5423.0159289069,1.8974276018088,-6.33914250930345,-4.35003946279587,general_trajectory
1282.70620536053,1867.14417640734,-3073.15032710482,5418.66174108954,1.89529957850588,-6.33682692954789,-4.35833580988593,general_trajectory
1283.70620536053,1869.03841051585,-3079.48599285282,5414.29925801309,1.89316805527366,-6.33450320990548,-4.36662997913897,general_trajectory
